ID;English;Chinese Simplified;Chinese Traditional;Czech;Danish;German;Greek;Finnish;French;Indonesian;Italian;Japanese;Korean;Dutch;Norwegian;Polish;Portugese;Spanish;Swedish;Tagalog
Codes;en ;zh-hans;zh-hant;cs;da;de;el;fi;fr;id;it;ja;ko;nl;no;pl;pt;es;sv;tl
1200000005;Aaron;亚伦;亞倫;ÁRON;ARON;Aaron;ΑΑΡΩΝ;Aaron;Aaron;HARUN;Aaronne;アロン;아론;AÄRON;ARON;AARON;Arão;AARÓN;ARON;AARON
1200000006;Ab;阿布月;阿布月;AB;AB;Ab;ΑΒ;Ab;Ab;AB;Ab;アブ;아브월;AB;AB;AB;Ab;AB;AB;AB
1200000007;Abaddon;亚巴顿;亞巴頓;ABADDON;ABADDŌN;Abaddon;ΑΒΑΔΔΩΝ;Abaddon;Abaddôn;ABADON;Abaddon;アバドン;아바돈;ABADDON;ABADDON;ABADDON;Abadon;ABADÓN;ABADDON;ABADON
1200000008;Abagtha;亚拔他;亞拔他;ABAGTA;ABAGTA;Abagtha;ΑΒΑΓΘΑ;Abagta;Abagtha;ABAGTA;Abagta;アバグタ;아박다;ABAGTHA;ABAGTA;ABAGTA;Abagta;ABAGTÁ;ABAGTA;ABAGTA
1200000009;Abanah;亚罢拿河;亞罷拿河;ABANA;ABANA;Abana;ΑΒΑΝΑ;Abana;Abana;ABANA;Abana;アバナ;아바나;ABANA;ABANA;ABANA;Abana;ABANÁ;ABANA;ABANA
1200000010;Abarim;亚巴琳;亞巴琳;ABARIM;ABARIM;Abarim;ΑΒΑΡΙΜ;Abarim;Abarim;ABARIM;Abarim;アバリム;아바림;ABARIM;ABARIM;ABARIM;Abarim;ABARIM;ABARIM;ABARIM
1200000011;Abba;爸爸;爸爸;ABBA;ABBA;Abba;ΑΒΒΑ;Abba;Abba;ABBA;Abba;アバ;아바;ABBA;ABBA;ABBA;Aba;ABBA;ABBA;ABBA
1200000012;Abda;亚布大;亞布大;ABDA;ABDA;Abda;ΑΒΔΑ;Abda;Abda;ABDA;Abda;アブダ;압다;ABDA;ABDA;ABDA;Abda;ABDÁ;ABDA;ABDA
1200000013;Abdeel;亚伯叠;亞伯疊;ABDEEL;ABDE’EL;Abdeel;ΑΒΔΕΗΛ;Abdeel;Abdéel;ABDEEL;Abdeel;アブデエル;압드엘;ABDEËL;ABDE’EL;ABDEEL;Abdeel;ABDEEL;ABDEEL;ABDEEL
1200000014;Abdi;亚伯底;亞伯底;ABDI;ABDI;Abdi;ΑΒΔΙ;Abdi;Abdi;ABDI;Abdi;アブディ;압디;ABDI;ABDI;ABDI;Abdi;ABDÍ;ABDI;ABDI
1200000015;Abdiel;押比叠;押比疊;ABDIEL;ABDIEL;Abdiel;ΑΒΔΙΗΛ;Abdiel;Abdiël;ABDIEL;Abdiel;アブディエル;압디엘;ABDIËL;ABDIEL;ABDIEL;Abdiel;ABDIEL;ABDIEL;ABDIEL
1200000016;Abdon;押顿;押頓;ABDON;ABDON;Abdon;ΑΒΔΩΝ;Abdon;Abdôn;ABDON;Abdon;アブドン;압돈;ABDON;ABDON;ABDON;Abdom;ABDÓN;ABDON;ABDON
1200000017;Abednego;亚伯尼哥;亞伯尼哥;ABEDNEGO;ABED-NEGO;Abednego;ΑΒΔΕΝΕΓΩ;Abednego;Abed-Négo;ABEDNEGO;Abednego;アベデネゴ;아벳느고;ABEDNEGO;ABED-NEGO;ABED-NEGO;Abednego;ABEDNEGO;ABED-NEGO;ABEDNEGO
1200000018;Abel;亚伯;亞伯;ABEL;ABEL;Abel;ΑΒΕΛ;Abel;Abel;HABEL;Abele;アベル;아벨;ABEL;ABEL;ABEL;Abel;ABEL;ABEL;ABEL
1200000019;Abel-beth-maacah;亚伯伯玛迦;亞伯伯瑪迦;ABEL-BET-MAAKA;ABEL-BET-MA’AKA;Abel-Beth-Maacha;ΑΒΕΛ‐ΒΑΙΘ‐ΜΑΑΧΑ;Abel-Bet-Maaka;Abel-Beth-Maaka, Abel de Beth-Maaka;ABEL-BET-MAAKA;Abel-Bet-Maaca;アベル･ベト･マアカ，ベト･マアカのアベル;아벨-벳-마아가;ABEL-BETH-MAÄCHA;ABEL-BET-MA’AKA;ABEL-BET-MAAKA, ABEL BET-MAAKA;Abel-Bete-Maacá, Abel de Bete-Maacá;ABEL-BET-MAACÁ, ABEL DE BET-MAACÁ;ABEL-BET-MAAKA;ABEL-BET-MAACA, ABEL NG BET-MAACA
1200000020;Abel-keramim;亚伯基拉明;亞伯基拉明;ABEL-KERAMIM;ABEL-KERAMIM;Abel-Keramim;ΑΒΕΛ‐ΚΕΡΑΜΙΜ;Abel-Keramim;Abel-Keramim;ABEL-KERAMIM;Abel-Cheramim;アベル･ケラミム;아벨-그라밈;ABEL-KERAMIM;ABEL-KERAMIM;ABEL-KERAMIM;Abel-Queramim;ABEL-KERAMIM;ABEL-KERAMIM;ABEL-KERAMIM
1200000021;Abel-maim;亚伯玛音;亞伯瑪音;ABEL-MAJIM;ABEL-MAJIM;Abel-Majim;ΑΒΕΛ‐ΜΑΪΜ;Abel-Maim;Abel-Maïm;ABEL-MAIM;Abel-Maim;アベル･マイム;아벨-마임;ABEL-MAÏM;ABEL-MAJIM;ABEL-MAIM;Abel-Maim;ABEL-MAIM;ABEL-MAJIM;ABEL-MAIM
1200000022;Abel-meholah;亚伯米何拉;亞伯米何拉;ABEL-MECHOLA;ABEL-MEHOLA;Abel-Mehola;ΑΒΕΛ‐ΜΕΟΛΑ;Abel-Mehola;Abel-Mehola;ABEL-MEHOLA;Abel-Meola;アベル･メホラ;아벨-므홀라;ABEL-MEHOLA;ABEL-MEHOLAH;ABEL-MECHOLA;Abel-Meolá;ABEL-MEHOLÁ;ABEL-MEHOLA;ABEL-MEHOLA
1200000023;Abel-mizraim;亚伯米连;亞伯米連;ABEL-MICRAJIM;ABEL-MIZRAJIM;Abel-Mizrajim;ΑΒΕΛ‐ΜΙΣΡΑΪΜ;Abel-Misraim;Abel-Mitsraïm;ABEL-MIZRAIM;Abel-Mizraim;アベル･ミツライム;아벨-미스라임;ABEL-MIZRAÏM;ABEL-MISRAJIM;ABEL-MICRAIM;Abel-Mizraim;ABEL-MIZRAIM;ABEL-MISRAJIM;ABEL-MIZRAIM
1200000024;Abel of Beth-maacah;伯玛迦的亚伯;伯瑪迦的亞伯;;ABEL VED BET-MA’AKA;Abel von Beth-Maacha;ΑΒΕΛ ΤΟΥ ΒΑΙΘ‐ΜΑΑΧΑ;;;;Abel di Bet-Maaca;ベト･マアカのアベル;벳-마아가의 아벨;ABEL VAN BETH-MAÄCHA;ABEL VED BET-MA’AKA;;;;ABEL VID BET-MAAKA;ABEL NG BET-MAACA
