ID;English;Chinese Simplified;Chinese Traditional;Czech;Danish;German;Greek;Finnish;French;Iloko;Indonesian;Italian;Japanese;Korean;Netherlands;Norwege;Polish;Portugese;Spanish;Swedish;Tagalog
ID;en;zh-hans;zh-hant;cs;da;de;el;fi;fr;ilo;id;it;ja;ko;nl;no;pl;pt;es;sv;tl 
1200000005;Aaron;亚伦;亞倫;ÁRON;ARON;Aaron;ΑΑΡΩΝ;Aaron;Aaron;AARON;HARUN;Aaronne;アロン;아론;AÄRON;ARON;AARON;Arão;AARÓN;ARON;AARON
1200000006;Ab;阿布月;阿布月;AB;AB;Ab;ΑΒ;Ab;Ab;AB;AB;Ab;アブ;아브월;AB;AB;AB;Ab;AB;AB;AB
1200000018;Abel;亚伯;亞伯;ABEL;ABEL;Abel;ΑΒΕΛ;Abel;Abel;ABEL;HABEL;Abele;アベル;아벨;ABEL;ABEL;ABEL;Abel;ABEL;ABEL;ABEL
1200000043;Abilene;亚比利尼;亞比利尼;ABILÉNA;ABILENE;Abilene;ΑΒΙΛΗΝΗ;Abilene;Abilène;ABILINIA;ABILENE;Abilene;アビレネ;아빌레네;ABILENE;ABILENE;ABILENA;Abilene;ABILENE;ABILENE;ABILINIA
1200000059;Abortion;流产;流産;POTRAT, ZMETÁNÍ;ABORT;Fehlgeburt;ΑΠΟΒΟΛΗ, 1;Keskenmeno;Avortement;PANNAKAREGREG TI SIKOG;KEGUGURAN;Aborto;流産，妊娠中絶;낙태;MISDRACHT, MISKRAAM;ABORT;PORONIENIE;Aborto;ABORTO;ABORT;ABORSIYON
1200000060;Abraham;亚伯拉罕;亞伯拉罕;ABRAHAM;ABRAHAM;Abraham;ΑΒΡΑΑΜ;Abraham;Abraham;ABRAHAM;ABRAHAM;Abraamo;アブラハム;아브라함;ABRAHAM;ABRAHAM;ABRAHAM;Abraão;ABRAHÁN;ABRAHAM;ABRAHAM
1200000065;Abyss;无底深渊;無底深淵;PROPAST;AFGRUND;Abgrund;ΑΒΥΣΣΟΣ;Syvyys;Abîme;MANGLIWENGLIWENG, YUYENG;JURANG YANG TIDAK TERDUGA DALAMNYA;Abisso;底知れぬ深み;무저갱;AFGROND;AVGRUNNEN;OTCHŁAŃ;Abismo;ABISMO;AVGRUND;KALALIMAN
1200000066;Acacia;金合欢;金合歡;AKÁCIE;AKACIE;Akazie;ΑΚΑΚΙΑ;Akasia;Acacia;AKASIA;AKASIA;Acacia;アカシア;아카시아나무;ACACIA;AKASIE;AKACJA;Acácia;ACACIA;AKACIA;AKASYA
1200000071;Accusation;指控;指控;OBŽALOBA;ANKLAGE;Anklage;ΚΑΤΗΓΟΡΙΑ;Syytös;Accusation;PAMMABASOL, PANANGAKUSAR, DARUM;TUDUHAN;Accusa;訴え，告訴，告発;고발, 비난;BESCHULDIGING;ANKLAGE;OSKARŻENIE;Acusação;ACUSACIÓN;ANKLAGELSE;AKUSASYON
